2094, 244
2087, 243
2071, 243
2062, 243
2040, 246
2031, 248
2006, 257
1977, 269
1970, 273
1933, 289
1915, 297
1873, 320
1858, 328
1823, 356
1783, 383
1773, 393
1749, 415
1739, 425
1722, 452
1716, 461
1709, 489
1709, 500
1710, 525
1728, 555
1734, 565
1756, 589
1768, 597
1795, 614
1812, 623
1858, 643
1872, 649
1921, 663
1969, 672
1986, 674
2029, 683
2043, 685
2089, 687
2109, 689
2146, 689
2193, 684
2208, 680
2249, 664
2261, 660
2287, 643
2297, 637
2318, 619
2325, 612
2341, 594
2354, 571
2360, 564
2367, 539
2368, 530
2371, 505
2371, 494
2367, 463
2356, 429
2350, 417
2329, 382
2321, 370
2291, 338
2281, 325
2244, 294
2227, 281
2192, 260
2144, 238
2132, 232
2104, 222
2095, 220
2076, 218
2070, 218
2057, 219
2048, 223
2045, 226
2038, 233
2036, 235
2033, 244
2033, 245
2033, 252
2033, 253
2035, 258
2039, 262
2040, 262
2043, 263
2044, 263
2045, 263
2046, 263
