796, 395
796, 398
796, 402
796, 406
796, 419
798, 438
800, 447
805, 472
807, 481
818, 506
822, 518
831, 543
842, 566
848, 576
860, 598
863, 605
877, 625
882, 635
896, 653
903, 658
915, 668
930, 675
934, 678
947, 680
954, 681
970, 681
978, 681
995, 678
1015, 669
1025, 665
1045, 654
1054, 648
1072, 637
1082, 632
1105, 613
1115, 603
1143, 583
1163, 562
1171, 555
1192, 530
1203, 520
1216, 500
1221, 493
1232, 475
1239, 461
1240, 456
1246, 445
1246, 443
1249, 436
1249, 434
1249, 431
1249, 430
1249, 430
1247, 432
1245, 435
1243, 438
1236, 449
1232, 456
1221, 474
1207, 500
1199, 510
1176, 541
1165, 554
