799, 303
799, 304
799, 305
801, 312
802, 315
812, 329
817, 336
836, 359
858, 393
868, 403
893, 442
904, 455
927, 482
940, 500
976, 548
1027, 619
1053, 651
1061, 661
1079, 679
1087, 687
1102, 700
1105, 701
1109, 704
1109, 704
1108, 703
1105, 702
1101, 699
1088, 691
1081, 689
1059, 680
1048, 680
1020, 678
1007, 678
969, 678
925, 689
908, 691
867, 708
853, 712
807, 735
792, 743
758, 762
735, 778
725, 783
707, 794
700, 800
690, 808
688, 810
685, 813
685, 815
685, 814
685, 813
686, 811
689, 809
692, 806
699, 799
702, 798
708, 791
711, 790
718, 785
719, 784
723, 781
726, 778
728, 775
