807, 381
816, 379
841, 368
847, 368
874, 364
904, 364
918, 364
945, 367
959, 369
993, 385
1005, 391
1038, 406
1048, 414
1069, 430
1084, 451
1088, 460
1092, 479
1092, 491
1092, 512
1091, 526
1085, 551
1073, 580
1066, 593
1050, 619
1043, 631
1027, 658
1021, 665
1005, 686
980, 710
970, 723
939, 743
929, 749
904, 761
892, 765
871, 765
862, 765
840, 757
819, 743
812, 738
794, 720
791, 713
782, 698
781, 692
776, 672
776, 668
776, 651
780, 631
783, 624
797, 602
803, 592
823, 571
833, 561
856, 545
882, 534
896, 530
926, 527
935, 525
965, 525
976, 525
1001, 529
1009, 531
1029, 540
1047, 548
1051, 550
1056, 553
1057, 554
1057, 555
1057, 555
1056, 555
1053, 556
1052, 556
1048, 556
1047, 558
1042, 558
1037, 558
1029, 558
1021, 558
1016, 558
1006, 558
1003, 558
991, 558
